Feature,Importance
Sem2_approval_rate,0.09920775391134795
Curricular_units_2nd_sem_approved,0.07436639256657326
Total_approved,0.07207742444040457
Sem1_approval_rate,0.06078727222660684
Avg_grade,0.05429826359854299
Curricular_units_2nd_sem_grade,0.04911419204506998
Curricular_units_1st_sem_approved,0.04195232299549925
Curricular_units_1st_sem_grade,0.03495630139693903
Tuition_fees_up_to_date,0.034630581466130385
Age_at_enrollment,0.03206141751840141
Admission_grade,0.031186567803387678
Curricular_units_1st_sem_evaluations,0.029922853231383
Curricular_units_2nd_sem_evaluations,0.02899114981729971
Previous_qualification_grade,0.02787056089112242
Course,0.026060659102281294
Fathers_occupation,0.025570372995177736
Mothers_occupation,0.024456392803436873
GDP,0.02137111898714758
Unemployment_rate,0.020845342291683736
Curricular_units_2nd_sem_enrolled,0.02077997283420198
Inflation_rate,0.019806525157802693
Curricular_units_1st_sem_enrolled,0.019755915938384702
Mothers_qualification,0.0196189689741015
Fathers_qualification,0.019075879401667408
Application_mode,0.01859311860911973
Application_order,0.015456028103580937
Scholarship_holder,0.014349322980875887
Debtor,0.011366080500918172
Gender,0.009020348849745608
Displaced,0.007103311127199283
Curricular_units_2nd_sem_credited,0.006290036535698169
Curricular_units_1st_sem_credited,0.006019136648184712
Previous_qualification,0.005151748830950204
Marital_status,0.004692928419781288
Curricular_units_1st_sem_without_evaluations,0.004400136430453604
Curricular_units_2nd_sem_without_evaluations,0.0036147633210403722
Daytime_evening_attendance,0.002489210425151508
Nacionality,0.001105750766449246
International,0.0008101448414344969
Educational_special_needs,0.000773731214822769
